Startup Name,Industry,Country,Funding Stage,Amount Raised (USD),Funding Date,Number of Employees
"Hill, Johnson and Wilson",Finance,Canada,Series A,7418873.0,2017-10-08,65
Cunningham-Shaw,Gaming,Australia,Series A,9117980.0,2020-01-06,293
"Santos, Smith and King",Tech,Germany,Series B,12997569.0,2018-11-10,202
"Jones, Shaffer and Gray",Finance,Canada,Series A,9215771.0,2022-11-12,220
"Miller, Hinton and Cochran",Education,UK,Seed,126587.0,2017-01-07,54
"Rivera, Griffin and English",E-commerce,Canada,Series C,51127573.0,2025-07-19,266
"Dyer, Silva and Graham",AI,Australia,Series B,46437198.0,2020-12-12,107
King-Greer,Health,France,IPO,728907232.0,2020-02-03,187
Garcia-Robles,AI,India,Series C,191577418.0,2018-07-01,148
Beasley-Murphy,E-commerce,Canada,Seed,345687.0,2021-11-10,417
Olson-Coleman,AI,USA,Series C,127005495.0,2024-02-06,141
Williams-Frye,AI,Germany,Seed,134995.0,2020-06-18,294
"Rodriguez, Stuart and Jordan",Education,Germany,Series A,6665600.0,2023-12-08,280
"Lewis, Flores and Parsons",E-commerce,Germany,Series A,8029008.0,2017-11-09,239
Long-Brown,Tech,USA,Seed,160242.0,2022-10-12,432
Sanders Inc,Education,USA,Series B,15930063.0,2025-10-11,272
Perez-Wilson,Gaming,France,Series B,10599457.0,2021-10-30,440
Montgomery Ltd,Education,India,Series A,6069708.0,2016-05-05,15
Sharp Group,SaaS,Canada,Series C,75841785.0,2024-03-05,79
Wong PLC,Health,Netherlands,Seed,55154.0,2017-01-19,419
"Smith, Zamora and Watson",Education,France,IPO,423901963.0,2019-10-03,201
Mccullough Inc,Tech,Netherlands,Series C,89199885.0,2022-02-21,210
Velez PLC,Education,Netherlands,IPO,433401857.0,2022-06-07,258
"Kelly, Compton and Bowen",Tech,Australia,Series C,119665952.0,2023-10-28,472
Morris and Sons,Finance,France,Series C,171154820.0,2022-01-19,89
Clark-Leon,Gaming,Netherlands,IPO,658877546.0,2018-09-21,84
Cardenas PLC,E-commerce,USA,Series A,9986395.0,2016-05-06,251
"Gregory, Lynch and Perkins",E-commerce,UK,Series C,111409106.0,2018-11-24,328
Drake Ltd,Finance,Netherlands,Seed,448619.0,2017-07-27,106
"Patel, Jimenez and Morgan",Gaming,Canada,Series B,31359311.0,2017-05-15,476
Payne LLC,E-commerce,Germany,IPO,218383153.0,2017-05-23,96
Sullivan and Sons,Education,Germany,IPO,706179332.0,2019-01-10,98
"Long, Frye and Sanchez",Gaming,Canada,Series C,139998945.0,2019-11-15,97
Morrison-May,Education,France,Seed,70983.0,2020-08-10,141
Hardin LLC,Finance,UK,IPO,719824313.0,2016-08-11,97
"James, Burnett and Jones",E-commerce,USA,Series C,70691614.0,2019-12-08,388
"Stevens, Johnson and Morrison",Education,India,Series A,8131577.0,2018-03-14,34
Rodriguez-Nelson,Education,Australia,Series C,144261722.0,2016-09-13,296
Robinson-Collins,SaaS,Germany,Series C,128808390.0,2017-05-01,359
Pearson and Sons,Health,USA,Series A,6784954.0,2017-04-15,340
Kim-Harris,AI,India,Series B,22218240.0,2025-01-24,439
Cook PLC,SaaS,USA,Seed,71382.0,2022-05-22,131
Wright-Greene,E-commerce,Netherlands,IPO,766686427.0,2016-05-23,366
Rodriguez LLC,E-commerce,Netherlands,Series C,183087387.0,2021-11-11,36
Lin-Young,Health,Canada,Seed,171453.0,2025-03-03,83
"Bailey, Zhang and Tucker",Education,Canada,Seed,444822.0,2025-04-02,473
Ortiz and Sons,AI,Netherlands,IPO,229196695.0,2024-03-08,474
"Moore, Fleming and Baker",Finance,India,Series A,4615540.0,2019-01-26,17
"Smith, Gibbs and Turner",SaaS,USA,Series C,195798498.0,2019-02-02,393
"Moore, Jefferson and Smith",AI,Germany,Series B,36879270.0,2018-10-15,49
Turner-Hoover,Tech,Australia,Series A,5102986.0,2016-03-23,215
Bryant Inc,Finance,Netherlands,Series A,6572766.0,2023-09-04,54
Jenkins Group,Education,France,Seed,265326.0,2023-12-19,420
"Hayes, Flores and Freeman",AI,USA,Series B,10084595.0,2017-10-19,329
"Flores, David and Berg",Health,Australia,Series B,23628345.0,2018-06-15,126
"Bridges, Hammond and Aguirre",E-commerce,Netherlands,Series A,3076239.0,2018-04-22,90
Solis Group,Gaming,India,Series B,32975510.0,2016-09-16,50
Ochoa-Morton,Gaming,India,Series A,3938769.0,2021-11-05,455
"Lloyd, Whitney and Richardson",Gaming,UK,Seed,235552.0,2017-12-05,476
"Gates, Thompson and Mitchell",Tech,USA,Series C,92311789.0,2025-02-19,128
"Johnson, Harrison and Bush",Finance,Canada,Seed,236852.0,2020-02-10,99
Frederick-Nicholson,Tech,Australia,Series B,49225476.0,2020-12-23,176
"Klein, Hatfield and Kennedy",Tech,Netherlands,Series C,70586796.0,2024-10-11,51
"Jones, Gomez and Brooks",Health,Netherlands,IPO,633650477.0,2025-09-03,324
"Velazquez, Cooper and Bowers",AI,USA,Series B,16332469.0,2016-11-16,161
Bradley Ltd,AI,UK,IPO,881183735.0,2017-11-19,118
Harrison-Taylor,E-commerce,Germany,Series C,78146249.0,2020-05-31,253
Gardner PLC,AI,Canada,IPO,476945300.0,2022-01-27,253
"Fernandez, Peters and Williams",Education,Canada,Series A,9516136.0,2016-08-04,59
"Dudley, Russell and Rodriguez",SaaS,UK,Series C,166628292.0,2025-02-25,300
"Morgan, Rojas and Miller",Gaming,France,Series A,2055612.0,2018-01-15,320
"Pope, Pena and Harrell",AI,India,IPO,398470951.0,2025-04-07,141
Fleming Inc,Tech,Netherlands,IPO,918991903.0,2021-09-14,106
"Marshall, Camacho and Smith",Gaming,Australia,Series B,30842494.0,2020-02-08,143
Terry-Pena,Education,Germany,Series A,4526549.0,2018-10-12,252
Valentine and Sons,Finance,Germany,Series B,48376237.0,2017-01-25,39
Curtis PLC,Tech,Netherlands,Seed,247775.0,2022-08-26,73
"Vincent, Beard and Lee",Tech,India,Series B,43018988.0,2020-07-17,387
Lynch-Mason,AI,Canada,Series C,183340285.0,2018-07-30,465
Wood-Morris,AI,Netherlands,Series B,38849497.0,2016-04-06,366
Mcbride LLC,E-commerce,USA,Seed,111327.0,2017-01-30,30
"Bush, Vaughan and Stokes",Finance,UK,Series B,49166226.0,2017-08-06,470
Duffy-Lang,Health,India,Series B,14289580.0,2024-03-12,16
Bentley-Brown,Health,Germany,Seed,386613.0,2022-05-29,188
Hodge-Barr,AI,India,IPO,474790024.0,2017-12-25,458
Cherry-Turner,E-commerce,USA,Series B,12338587.0,2017-07-03,411
"Knox, Rosales and Gonzalez",Tech,UK,Seed,385487.0,2025-06-28,272
Rodriguez PLC,AI,USA,Series C,182699800.0,2024-08-26,249
Reed-Williams,AI,Germany,Series A,5243341.0,2019-10-06,132
"Bennett, Evans and Mathews",Finance,France,Series A,2724388.0,2018-04-09,137
Lopez Ltd,SaaS,France,Series A,6174747.0,2021-03-19,97
Koch-Vang,AI,Germany,IPO,478653171.0,2023-08-15,473
Fisher-Smith,SaaS,USA,Series C,107502138.0,2022-05-06,67
"Mcbride, Nelson and Abbott",Gaming,USA,Series A,8229575.0,2022-10-20,174
Haynes-May,SaaS,France,Seed,51433.0,2024-06-22,443
Wheeler PLC,AI,Canada,Series C,111222206.0,2019-07-10,320
Barker LLC,Health,Netherlands,Series A,5779861.0,2023-11-06,137
Ramos Ltd,Education,Netherlands,Series C,124062121.0,2019-02-16,38
Fleming-Wright,Health,Netherlands,Series C,56346975.0,2019-03-31,53
Duncan Inc,Gaming,USA,Series A,8132554.0,2016-03-20,364
"Arias, Sherman and Silva",SaaS,Netherlands,IPO,227529933.0,2019-08-04,463
Dyer PLC,Finance,UK,Series B,18363775.0,2021-10-05,136
"Harris, Miller and Bailey",Finance,Canada,Series A,7837950.0,2017-05-07,233
"Martin, Lee and Whitney",Tech,France,Series A,8597711.0,2019-10-08,399
"Cox, Foster and Owen",SaaS,USA,Series B,11455047.0,2024-08-09,268
Thomas-Jones,Tech,UK,Seed,72447.0,2021-11-26,151
Howell-Cole,Tech,Canada,Seed,337988.0,2025-12-24,45
"Gibson, Edwards and Henry",E-commerce,India,Series C,85866174.0,2016-12-12,119
Hawkins-Perez,Gaming,Australia,Series B,19546890.0,2017-03-20,127
Mills Inc,Gaming,USA,Seed,396730.0,2022-09-11,41
"Evans, Smith and Zavala",Finance,UK,Series A,6032302.0,2018-10-30,146
Chavez Group,Education,UK,Series A,3054021.0,2018-01-23,384
Martinez-Ortiz,Gaming,Canada,Seed,282222.0,2017-06-27,325
Jones-Williams,Education,UK,Series A,9957628.0,2023-09-18,183
Moore Group,E-commerce,UK,Series A,3937991.0,2020-06-13,304
Snyder PLC,E-commerce,USA,Series C,61486888.0,2017-08-22,425
"Mccullough, Garrett and Bailey",SaaS,Australia,Series A,9707174.0,2024-01-23,180
Mueller-Chambers,E-commerce,Canada,Series B,11286801.0,2025-04-16,64
Martin-Terry,Tech,Australia,Series C,183783420.0,2024-10-25,152
Huff-Smith,E-commerce,UK,Series A,8023948.0,2016-07-09,299
"Robinson, Hayes and Marsh",Gaming,Netherlands,Series B,35889199.0,2025-03-14,21
"Wilson, Ellis and Kelly",Finance,France,Series A,3026561.0,2021-03-03,424
"Morales, Moreno and Cox",Gaming,France,Seed,297289.0,2016-01-20,159
"Thompson, Trevino and Cooper",E-commerce,France,Series C,125965722.0,2016-08-11,238
Mccullough-Mckee,Gaming,Canada,Series B,24544784.0,2017-05-18,8
"Clark, Evans and Kaiser",Education,Netherlands,Seed,211618.0,2022-04-26,362
Walsh LLC,Gaming,Australia,Series C,55900741.0,2016-12-22,293
Reed-Russo,SaaS,Canada,Series C,120375449.0,2018-09-08,117
Rodgers Inc,AI,Canada,Series B,43273444.0,2017-11-01,257
Medina Inc,Finance,UK,Series B,30813032.0,2024-01-25,345
